order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,gross_amount,net_amount,payment_method,channel,marketing_source,delivery_days,returned,review_score,segment,city,category
O00024,C0394,P060,2025-10-28,3,813.91,0.09,2441.73,2221.97,Carte,App,Email,2.0,0,4.0,Indépendant,Dakar,Laptop
O00025,C0001,P030,2025-09-23,1,408.53,0.11,408.53,363.59,Mobile Money,Boutique,Email,5.0,0,5.0,Entreprise,Gonaïves,Cloud
O00026,C0178,P032,2025-04-08,1,756.36,0.15,756.36,642.91,Carte,Web,Référencement payant,15.0,0,4.0,Étudiant,Jérémie,Laptop
O00027,C0461,P052,2025-01-08,2,1932.53,0.2,3865.06,3092.05,Virement,Web,Direct,7.0,0,5.0,Professionnel,Port-au-Prince,Laptop
O00028,C0198,P060,2025-12-09,1,813.91,0.17,813.91,675.55,Carte,Boutique,Référencement payant,14.0,0,5.0,Professionnel,Santo Domingo,Laptop
O00029,C0050,P044,2025-01-29,2,238.63,0.05,477.26,453.4,Carte,Web,Référencement payant,6.0,0,4.0,Indépendant,Les Cayes,Logiciel
O00030,C0215,P042,2025-04-04,3,68.31,0.12,204.93,180.34,Mobile Money,Web,Organique,3.0,0,4.0,Indépendant,Port-au-Prince,Cloud
O00031,C0342,P053,2024-05-31,2,325.9,0.07,651.8,606.17,Mobile Money,App,Direct,1.0,0,4.0,Étudiant,,Cloud
O00032,C0499,P059,2025-06-17,5,108.25,0.0,541.25,541.25,Carte,App,Réseaux sociaux,3.0,0,5.0,Indépendant,Paris,Cours
O00033,C0315,P045,2025-08-08,1,349.73,0.04,349.73,335.74,Virement,Web,Réseaux sociaux,0.0,0,4.0,Étudiant,Dakar,Cloud
O00034,C0026,P018,2025-04-30,4,52.97,0.14,211.88,182.22,Carte,Web,Réseaux sociaux,0.0,1,4.0,Professionnel,Port-au-Prince,Cours
O00035,C0405,P039,2024-12-22,3,179.66,0.13,538.98,468.91,Carte,App,Réseaux sociaux,1.0,0,,Professionnel,Dakar,Cours
O00036,C0391,P015,2024-05-21,4,215.62,0.06,862.48,810.73,Carte,Web,Email,1.0,0,4.0,Étudiant,Jérémie,Cloud
O00037,C0326,P031,2024-01-25,4,165.54,0.12,662.16,582.7,Mobile Money,App,Réseaux sociaux,0.0,0,,Étudiant,Port-au-Prince,Cours
O00038,C0449,P027,2025-03-24,1,1016.89,0.04,1016.89,976.21,Mobile Money,App,Organique,4.0,0,5.0,Étudiant,Paris,Laptop
O00039,C0385,P060,2025-05-03,4,813.91,0.05,3255.64,3092.86,Virement,Web,Direct,2.0,0,5.0,Indépendant,Gonaïves,Laptop
O00040,C0117,P034,2025-07-06,2,294.16,0.17,588.32,488.31,Mobile Money,App,Direct,1.0,0,4.0,Étudiant,Cap-Haïtien,Logiciel
O00041,C0211,P058,2025-11-10,4,222.36,0.26,889.44,658.19,Carte,App,Réseaux sociaux,1.0,0,5.0,Professionnel,Port-au-Prince,Cloud
O00042,C0254,P049,2024-12-21,2,308.72,0.04,617.44,592.74,Carte,Boutique,Direct,2.0,0,5.0,Professionnel,Santo Domingo,Logiciel
O00043,C0245,P051,2025-08-15,2,51.59,0.09,103.18,93.89,Carte,Web,Réseaux sociaux,17.0,0,,Professionnel,Port-au-Prince,Accessoire
O00044,C0320,P011,2025-05-27,4,41.85,0.07,167.4,155.68,Mobile Money,Web,Réseaux sociaux,1.0,0,4.0,Professionnel,Port-au-Prince,Cours
O00045,C0351,P047,2024-07-17,5,122.9,0.13,614.5,534.62,Carte,App,Direct,2.0,0,4.0,Étudiant,Jacmel,Cours
O00046,C0052,P016,2025-08-27,5,1572.54,0.17,7862.7,6526.04,Mobile Money,Boutique,Email,9.0,0,4.0,Professionnel,Port-au-Prince,Laptop
O00047,C0285,P035,2024-02-08,4,52.24,0.11,208.96,185.97,Mobile Money,Boutique,Référencement payant,2.0,0,4.0,Professionnel,Montréal,Livre
O00048,C0020,P030,2025-03-04,3,408.53,0.11,1225.59,1090.78,Mobile Money,Web,Réseaux sociaux,3.0,0,4.0,Entreprise,Les Cayes,Cloud
O00049,C0256,P016,2025-11-03,3,1572.54,0.29,4717.62,3349.51,Carte,Web,Réseaux sociaux,4.0,0,4.0,Entreprise,Cap-Haïtien,Laptop
O00050,C0212,P060,2025-04-16,5,813.91,0.1,4069.55,3662.6,Carte,Web,Organique,11.0,0,5.0,Indépendant,Hinche,Laptop
O00051,C0103,P053,2025-10-31,2,325.9,0.15,651.8,554.03,Virement,App,Direct,2.0,0,4.0,Indépendant,Montréal,Cloud
O00052,C0496,P035,2024-02-10,5,52.24,0.0,261.2,261.2,Mobile Money,App,Organique,,0,5.0,Entreprise,Kinshasa,Livre
O00053,C0130,P001,2025-01-15,-1,1681.08,0.05,6724.32,6388.1,Mobile Money,App,Réseaux sociaux,11.0,0,,Professionnel,Les Cayes,Laptop
O00054,C0029,P011,2025-07-12,4,41.85,0.08,167.4,154.01,Mobile Money,Web,Organique,3.0,0,5.0,Professionnel,Gonaïves,Cours
O00055,C0180,P014,2025-04-04,3,120.86,0.09,362.58,329.95,Virement,Boutique,Email,0.0,0,3.0,Indépendant,Montréal,Cours
O00056,C0379,P059,2025-09-21,5,108.25,0.25,541.25,405.94,Carte,Web,Réseaux sociaux,3.0,0,4.0,Étudiant,Montréal,Cours
O00057,C0005,P025,2024-11-26,4,95.45,0.18,381.8,313.08,Virement,Web,Référencement payant,3.0,0,5.0,Professionnel,Cap-Haïtien,Cours
O00058,C0247,P003,2025-05-03,1,40.16,0.03,40.16,38.96,Carte,App,Email,3.0,0,5.0,Étudiant,Abidjan,Livre
O00059,C0209,P036,2024-10-27,4,130.05,0.06,520.2,488.99,Cash,Web,Organique,,0,4.0,Étudiant,Les Cayes,Accessoire
O00060,C0433,P058,2025-09-15,4,222.36,0.25,889.44,667.08,Carte,App,Organique,2.0,0,,Étudiant,Jérémie,Cloud
O00061,C0002,P034,2024-03-26,5,294.16,0.08,1470.8,1353.14,Carte,App,Organique,1.0,0,4.0,Professionnel,Gonaïves,Logiciel
O00062,C0009,P027,2024-06-30,5,1016.89,0.17,5084.45,4220.09,Carte,Web,Référencement payant,2.0,0,5.0,Professionnel,Saint-Marc,Laptop
O00063,C0283,P011,2024-03-10,5,41.85,0.04,209.25,200.88,Virement,Web,Partenariat,1.0,0,4.0,Indépendant,Cap-Haïtien,Cours
O00064,C0090,P053,2025-05-17,1,325.9,0.13,325.9,283.53,Cash,Web,Réseaux sociaux,1.0,0,5.0,Professionnel,Fort-Liberté,Cloud
O00065,C0353,P007,2024-06-15,4,308.43,0.18,1233.72,1011.65,Carte,App,Email,5.0,0,4.0,Étudiant,Port-au-Prince,Logiciel
O00066,C0140,P057,2024-08-14,5,55.74,0.1,278.7,250.83,Carte,Web,Organique,0.0,0,4.0,Étudiant,Paris,Cours
O00067,C0282,P014,2025-08-21,5,120.86,0.12,604.3,531.78,Carte,Web,Partenariat,1.0,0,5.0,Professionnel,Cap-Haïtien,Cours
O00068,C0019,P009,2024-09-14,3,157.91,0.12,473.73,416.88,Carte,Web,Direct,0.0,0,4.0,Étudiant,Saint-Marc,Cours
O00069,C0347,P021,2024-04-14,5,151.84,0.14,759.2,652.91,Mobile Money,App,Référencement payant,1.0,0,4.0,Étudiant,Saint-Marc,Cours
O00070,C0260,P001,2024-01-15,5,1681.08,0.04,8405.4,8069.18,Carte,Web,Organique,7.0,0,5.0,Étudiant,Cap-Haïtien,Laptop
O00071,C0001,P001,2024-06-11,1,1681.08,0.13,1681.08,1462.54,Cash,Web,Réseaux sociaux,15.0,0,4.0,Entreprise,Gonaïves,Laptop
O00072,C0133,P012,2025-10-16,5,74.3,0.13,371.5,323.2,Cash,Web,Direct,3.0,1,4.0,Étudiant,Cap-Haïtien,Livre
O00073,C0030,P042,2025-01-27,4,68.31,0.21,273.24,215.86,Carte,Web,Organique,1.0,0,4.0,Professionnel,Port-au-Prince,Cloud
O00074,C0023,P049,2025-12-12,3,308.72,0.1,926.16,833.54,Mobile Money,Web,Référencement payant,,0,4.0,Professionnel,Cap-Haïtien,Logiciel
O00075,C0350,P015,2024-06-02,1,215.62,0.05,215.62,204.84,Cash,Web,Direct,0.0,0,5.0,Étudiant,Port-au-Prince,Cloud
O00076,C0214,P039,2024-09-08,5,179.66,0.27,898.3,655.76,Virement,App,Référencement payant,3.0,1,5.0,Professionnel,Jérémie,Cours
O00077,C0402,P022,2024-04-26,2,50.57,0.16,101.14,84.96,Mobile Money,Web,Email,3.0,0,4.0,Professionnel,Montréal,Livre
O00078,C0129,P026,2024-10-11,3,95.37,0.1,286.11,257.5,Carte,Web,Réseaux sociaux,6.0,0,4.0,Étudiant,Gonaïves,Accessoire
O00079,C0359,P021,2025-02-06,2,151.84,0.04,303.68,291.53,Carte,Boutique,Direct,1.0,0,4.0,Étudiant,Gonaïves,Cours
O00080,C0308,P054,2025-07-31,5,1341.69,0.1,6708.45,6037.6,Mobile Money,Web,Réseaux sociaux,7.0,0,5.0,Étudiant,Kinshasa,Laptop
O00081,C0332,P031,2024-09-20,3,165.54,0.22,496.62,387.36,Carte,Web,Direct,3.0,0,4.0,Entreprise,Mirebalais,Cours
O00082,C0415,P031,2025-07-05,1,165.54,0.17,165.54,137.4,Mobile Money,Web,Réseaux sociaux,0.0,0,5.0,Étudiant,Port-au-Prince,Cours
O00083,C0354,P052,2025-03-23,1,1932.53,0.03,1932.53,1874.55,Mobile Money,Web,Référencement payant,14.0,0,4.0,Professionnel,,Laptop
O00084,C0373,P040,2024-07-27,5,141.14,0.02,705.7,691.59,Mobile Money,Web,Direct,3.0,0,3.0,Entreprise,Port-au-Prince,Cloud
O00085,C0370,P009,2025-10-14,2,157.91,0.08,315.82,290.55,Carte,App,Email,3.0,0,5.0,Indépendant,Montréal,Cours
O00086,C0224,P012,2024-11-06,4,74.3,0.14,297.2,255.59,Carte,Web,Réseaux sociaux,3.0,0,4.0,Professionnel,Gonaïves,Livre
O00087,C0363,P021,2024-04-17,1,151.84,0.18,151.84,124.51,Virement,App,Organique,6.0,0,4.0,Indépendant,Santo Domingo,Cours
O00088,C0422,P006,2025-11-19,5,75.23,0.14,376.15,323.49,Carte,Boutique,Partenariat,7.0,0,4.0,Entreprise,Port-au-Prince,Accessoire
O00089,C0370,P042,2025-10-15,4,68.31,0.2,273.24,218.59,Carte,Web,Email,0.0,0,4.0,Indépendant,Montréal,Cloud
O00090,C0304,P030,2024-02-05,2,408.53,0.04,817.06,784.38,Cash,App,Organique,0.0,0,5.0,Professionnel,Port-au-Prince,Cloud
O00091,C0038,P003,2025-10-07,5,40.16,0.14,200.8,172.69,Mobile Money,Web,Partenariat,2.0,0,5.0,Professionnel,Port-au-Prince,Livre
O00092,C0219,P025,2025-11-08,2,95.45,0.25,190.9,143.18,Mobile Money,Web,Direct,1.0,0,4.0,Étudiant,Les Cayes,Cours
O00093,C0032,P050,2025-08-15,5,24.97,0.09,124.85,113.61,Virement,App,Partenariat,0.0,0,4.0,Étudiant,Montréal,Livre
O00094,C0052,P055,2024-07-01,3,1771.15,0.0,5313.45,5313.45,Carte,Web,Email,14.0,0,4.0,Professionnel,Port-au-Prince,Laptop
O00095,C0181,P058,2025-03-27,3,222.36,0.04,667.08,640.4,Cash,Boutique,Direct,0.0,0,4.0,Étudiant,Hinche,Cloud
O00096,C0233,P056,2025-01-19,1,144.68,0.19,144.68,117.19,Virement,App,Partenariat,1.0,0,4.0,Professionnel,Gonaïves,Logiciel
O00097,C0264,P037,2025-03-19,2,120.19,0.18,240.38,197.11,Carte,Web,Organique,1.0,0,5.0,Étudiant,Port-au-Prince,Cours
O00098,C0451,P056,2025-03-16,1,144.68,0.04,144.68,138.89,Carte,Web,Direct,3.0,0,4.0,Professionnel,Port-au-Prince,Logiciel
O00099,C0382,P058,2025-04-02,5,222.36,0.11,1111.8,989.5,Carte,App,Email,2.0,0,4.0,Entreprise,,Cloud
O00100,C0212,P039,2025-01-02,1,179.66,0.2,179.66,143.73,Mobile Money,Web,Direct,2.0,0,4.0,Indépendant,Hinche,Cours
O00101,C0168,P025,2025-05-08,1,95.45,0.1,95.45,85.9,Mobile Money,Web,Référencement payant,3.0,0,3.0,Étudiant,Dakar,Cours
O00102,C0357,P058,2025-01-11,1,222.36,0.14,222.36,191.23,Mobile Money,Web,Email,5.0,0,4.0,Étudiant,Port-au-Prince,Cloud
O00103,C0138,P025,2024-01-12,5,95.45,0.04,477.25,458.16,Cash,Web,Réseaux sociaux,1.0,1,5.0,Entreprise,Paris,Cours
O00104,C0442,P010,2024-01-26,5,28.28,0.09,141.4,128.67,Mobile Money,Boutique,Organique,3.0,0,5.0,Indépendant,Abidjan,Livre
O00105,C0391,P007,2025-11-16,4,308.43,0.29,1233.72,875.94,Mobile Money,Web,Organique,2.0,0,5.0,Étudiant,Jérémie,Logiciel
O00106,C0342,P035,2025-10-12,1,52.24,0.2,52.24,41.79,Mobile Money,Web,Référencement payant,0.0,0,5.0,Étudiant,,Livre
O00107,C0125,P003,2025-02-22,3,40.16,0.02,120.48,118.07,Mobile Money,App,Partenariat,0.0,0,5.0,Étudiant,Port-au-Prince,Livre
O00108,C0311,P008,2024-05-04,5,68.48,0.06,342.4,321.86,Carte,App,Organique,0.0,0,5.0,Étudiant,Cap-Haïtien,Logiciel
O00109,C0411,P015,2025-07-12,1,215.62,0.01,215.62,213.46,Mobile Money,App,Organique,0.0,0,4.0,Indépendant,Paris,Cloud
O00110,C0036,P032,2024-04-12,4,756.36,0.05,3025.44,2874.17,Mobile Money,Boutique,Référencement payant,3.0,0,4.0,Étudiant,Hinche,Laptop
O00111,C0089,P029,2024-09-26,1,26.81,0.19,26.81,21.72,Carte,Web,Organique,0.0,0,5.0,Étudiant,Port-au-Prince,Livre
O00112,C0258,P031,2024-08-23,5,165.54,0.01,827.7,819.42,Mobile Money,Web,Organique,3.0,0,5.0,Professionnel,Port-au-Prince,Cours
O00113,C0180,P031,2024-01-09,3,165.54,0.2,496.62,397.3,Mobile Money,App,Organique,2.0,0,4.0,Indépendant,Montréal,Cours
O00114,C0355,P060,2025-07-31,5,813.91,0.01,4069.55,4028.85,Carte,Web,Email,11.0,0,4.0,Professionnel,Santo Domingo,Laptop
O00115,C0201,P014,2024-12-30,3,120.86,0.1,362.58,326.32,Virement,App,Email,1.0,0,4.0,Indépendant,Port-au-Prince,Cours
O00116,C0499,P029,2024-08-14,4,26.81,0.08,107.24,98.66,Carte,Web,Partenariat,3.0,0,5.0,Indépendant,Paris,Livre
O00117,C0150,P037,2024-12-28,5,120.19,0.17,600.95,498.79,Mobile Money,Boutique,Réseaux sociaux,1.0,0,,Professionnel,Santo Domingo,Cours
O00118,C0181,P017,2024-01-01,2,108.73,0.21,217.46,171.79,Mobile Money,App,Organique,2.0,0,4.0,Étudiant,Hinche,Logiciel
O00119,C0002,P011,2024-11-08,4,41.85,0.11,167.4,148.99,Carte,App,Référencement payant,0.0,0,,Professionnel,Gonaïves,Cours
O00120,C0124,P003,2025-01-06,3,40.16,0.06,120.48,113.25,Mobile Money,Web,Direct,3.0,0,4.0,Étudiant,Paris,Livre
O00121,C0118,P020,2024-08-30,3,1817.26,0.13,5451.78,4743.05,Carte,Boutique,Réseaux sociaux,4.0,0,4.0,Indépendant,Dakar,Laptop
O00122,C0382,P016,2025-08-16,4,1572.54,0.13,6290.16,5472.44,Carte,App,Partenariat,7.0,0,4.0,Entreprise,,Laptop
O00123,C0169,P012,2024-06-27,2,74.3,0.0,148.6,148.6,Mobile Money,App,Référencement payant,3.0,0,4.0,Étudiant,Abidjan,Livre
O00124,C0102,P017,2024-04-08,1,108.73,0.05,108.73,103.29,Carte,App,Direct,3.0,0,5.0,Indépendant,Gonaïves,Logiciel
O00125,C0157,P042,2025-01-12,3,68.31,0.17,204.93,170.09,Cash,Web,Réseaux sociaux,0.0,0,5.0,Entreprise,Port-au-Prince,Cloud
O00126,C0282,P050,2025-09-26,5,24.97,0.16,124.85,104.87,Carte,Web,Organique,3.0,0,4.0,Professionnel,Cap-Haïtien,Livre
O00127,C0393,P031,2024-09-25,1,165.54,0.23,165.54,127.47,Carte,Web,Organique,2.0,0,4.0,Professionnel,Port-au-Prince,Cours
O00128,C0490,P004,2024-02-03,2,91.27,0.05,182.54,173.41,Virement,App,Référencement payant,7.0,0,4.0,Professionnel,Cap-Haïtien,Accessoire
O00129,C0024,P045,2025-11-24,4,349.73,0.24,1398.92,1063.18,Mobile Money,App,Partenariat,2.0,0,4.0,Indépendant,Cap-Haïtien,Cloud
O00130,C0421,P010,2024-11-13,3,28.28,0.3,84.84,59.39,Mobile Money,Web,Réseaux sociaux,3.0,0,5.0,Professionnel,Dakar,Livre
O00131,C0195,P004,2024-05-03,4,91.27,0.13,365.08,317.62,Mobile Money,Boutique,Organique,8.0,0,4.0,Étudiant,Mirebalais,Accessoire
O00132,C0405,P035,2025-03-16,3,52.24,0.02,156.72,153.59,Virement,Web,Organique,2.0,1,4.0,Professionnel,Dakar,Livre
O00133,C0019,P026,2024-08-16,5,95.37,0.17,476.85,395.79,Carte,App,Email,5.0,0,4.0,Étudiant,Saint-Marc,Accessoire
O00134,C0314,P019,2025-11-01,5,121.48,0.23,607.4,467.7,Carte,Web,Direct,3.0,0,3.0,Professionnel,Hinche,Cours
O00135,C0466,P059,2024-07-29,3,108.25,0.06,324.75,305.26,Cash,Web,Réseaux sociaux,3.0,0,5.0,Étudiant,Paris,Cours
O00136,C0020,P006,2025-01-28,3,75.23,0.22,225.69,176.04,Carte,Web,Email,12.0,0,3.0,Entreprise,Les Cayes,Accessoire
O00137,C0396,P004,2025-01-23,2,91.27,0.09,182.54,166.11,Mobile Money,App,Email,4.0,0,5.0,Indépendant,Paris,Accessoire
O00138,C0058,P036,2024-06-22,3,130.05,0.07,390.15,362.84,Mobile Money,App,Partenariat,11.0,0,4.0,Indépendant,Port-au-Prince,Accessoire
O00139,C0492,P026,2024-12-22,5,95.37,0.1,476.85,429.16,Mobile Money,Web,Partenariat,8.0,0,5.0,Professionnel,Port-au-Prince,Accessoire
O00140,C0373,P049,2024-03-18,3,308.72,0.13,926.16,805.76,Mobile Money,Web,Organique,1.0,0,4.0,Entreprise,Port-au-Prince,Logiciel
O00141,C0456,P003,2025-04-05,4,40.16,0.04,160.64,154.21,Cash,App,Référencement payant,3.0,0,4.0,Entreprise,Cap-Haïtien,Livre
O00142,C0449,P026,2025-06-26,3,95.37,0.17,286.11,237.47,Carte,Web,Partenariat,4.0,0,4.0,Étudiant,Paris,Accessoire
O00143,C0158,P009,2025-11-10,4,157.91,0.25,631.64,473.73,Mobile Money,App,Direct,3.0,0,4.0,Étudiant,Montréal,Cours
O00144,C0208,P003,2024-08-20,4,40.16,0.08,160.64,147.79,Mobile Money,Web,Email,3.0,0,5.0,Entreprise,Les Cayes,Livre
O00145,C0346,P028,2024-07-22,3,26.12,0.13,78.36,68.17,Carte,App,Organique,12.0,0,5.0,Étudiant,,Accessoire
O00146,C0088,P045,2025-01-27,5,349.73,0.22,1748.65,1363.95,Virement,App,Email,0.0,0,4.0,Étudiant,Santo Domingo,Cloud
O00147,C0154,P010,2025-05-10,5,28.28,0.08,141.4,130.09,Mobile Money,Web,Email,3.0,0,4.0,Étudiant,Cap-Haïtien,Livre
O00148,C0050,P051,2025-12-10,1,51.59,0.12,51.59,45.4,Carte,App,Organique,11.0,0,5.0,Indépendant,Les Cayes,Accessoire
O00149,C0445,P032,2024-01-18,2,756.36,0.08,1512.72,1391.7,Virement,Web,Direct,2.0,0,5.0,Étudiant,Montréal,Laptop
O00150,C0124,P029,2024-06-19,5,26.81,0.14,134.05,115.28,Cash,Boutique,Organique,3.0,0,4.0,Étudiant,Paris,Livre
O00151,C0206,P056,2024-07-06,3,144.68,0.15,434.04,368.93,Carte,App,Direct,3.0,0,5.0,Professionnel,Gonaïves,Logiciel
O00152,C0227,P020,2024-07-01,2,1817.26,0.05,3634.52,3452.79,Mobile Money,Web,Réseaux sociaux,14.0,0,4.0,Étudiant,Jérémie,Laptop
O00153,C0188,P013,2024-11-27,4,61.14,0.29,244.56,173.64,Carte,App,Organique,1.0,0,4.0,Indépendant,Abidjan,Livre
O00154,C0389,P048,2025-09-16,4,74.61,0.11,298.44,265.61,Carte,Web,Email,1.0,0,3.0,Étudiant,Port-au-Prince,Cours
O00155,C0458,P007,2024-01-23,1,308.43,0.12,308.43,271.42,Carte,App,Email,3.0,0,4.0,Étudiant,Port-au-Prince,Logiciel
O00156,C0287,P053,2025-08-06,1,325.9,0.14,325.9,280.27,Virement,Boutique,Partenariat,1.0,0,,Professionnel,Les Cayes,Cloud
O00157,C0419,P050,2025-03-17,5,24.97,0.06,124.85,117.36,Carte,App,Email,1.0,0,4.0,Indépendant,Gonaïves,Livre
O00158,C0056,P059,2025-03-15,4,108.25,0.05,433.0,411.35,Carte,Web,Organique,1.0,0,5.0,Professionnel,Cap-Haïtien,Cours
O00159,C0484,P028,2025-04-29,2,26.12,0.05,52.24,49.63,Mobile Money,App,Direct,9.0,0,5.0,Indépendant,Cap-Haïtien,Accessoire
O00160,C0058,P038,2024-03-23,5,98.38,0.05,491.9,467.3,Carte,Web,Email,0.0,0,4.0,Indépendant,Port-au-Prince,Cours
O00161,C0034,P053,2025-06-17,1,325.9,0.06,325.9,306.35,Carte,Web,Organique,1.0,0,5.0,Professionnel,Paris,Cloud
O00162,C0012,P008,2024-06-26,5,68.48,0.11,342.4,304.74,Carte,Boutique,Partenariat,0.0,0,4.0,Étudiant,Gonaïves,Logiciel
O00163,C0122,P019,2025-01-04,1,121.48,0.09,121.48,110.55,Mobile Money,Web,Organique,3.0,0,5.0,Professionnel,Port-au-Prince,Cours
O00164,C0419,P029,2025-04-28,4,26.81,0.05,107.24,101.88,Mobile Money,Web,Organique,1.0,0,4.0,Indépendant,Gonaïves,Livre
O00165,C0151,P038,2025-03-07,5,98.38,0.04,491.9,472.22,Mobile Money,Web,Email,2.0,0,5.0,Étudiant,Les Cayes,Cours
O00166,C0396,P041,2024-08-19,4,46.48,0.15,185.92,158.03,Carte,Boutique,Email,1.0,0,4.0,Indépendant,Paris,Livre
O00167,C0213,P056,2024-10-10,4,144.68,0.1,578.72,520.85,Mobile Money,Boutique,Réseaux sociaux,3.0,1,5.0,Étudiant,Port-au-Prince,Logiciel
O00168,C0052,P030,2024-12-06,2,408.53,0.09,817.06,743.52,Mobile Money,Web,Direct,1.0,1,,Professionnel,Port-au-Prince,Cloud
O00169,C0237,P011,2024-01-30,2,41.85,0.13,83.7,72.82,Carte,Web,Organique,0.0,0,4.0,Étudiant,Les Cayes,Cours
O00170,C0117,P012,2025-06-03,2,74.3,0.1,148.6,133.74,Carte,App,Direct,1.0,0,5.0,Étudiant,Cap-Haïtien,Livre
O00171,C0146,P049,2024-03-12,1,308.72,0.16,308.72,259.32,Carte,Web,Organique,0.0,0,5.0,Professionnel,Saint-Marc,Logiciel
O00172,C0259,P028,2024-11-23,2,26.12,0.17,52.24,43.36,Carte,Boutique,Organique,6.0,0,5.0,Professionnel,Port-au-Prince,Accessoire
O00173,C0396,P038,2025-04-13,2,98.38,0.18,196.76,161.34,Carte,Boutique,Organique,2.0,0,4.0,Indépendant,Paris,Cours
O00174,C0294,P034,2024-02-27,4,294.16,0.16,1176.64,988.38,Cash,App,Organique,1.0,0,4.0,Professionnel,Montréal,Logiciel
O00175,C0112,P049,2025-12-12,2,308.72,0.04,617.44,592.74,Mobile Money,Web,Réseaux sociaux,1.0,0,5.0,Professionnel,Jacmel,Logiciel
O00176,C0359,P014,2024-09-26,1,120.86,0.28,120.86,87.02,Mobile Money,App,Partenariat,2.0,0,5.0,Étudiant,Gonaïves,Cours
O00177,C0349,P011,2024-01-12,4,41.85,0.1,167.4,150.66,Carte,Boutique,Partenariat,10.0,0,4.0,Étudiant,Port-au-Prince,Cours
O00178,C0119,P045,2025-04-15,3,349.73,0.07,1049.19,975.75,Mobile Money,Web,Référencement payant,3.0,0,4.0,Professionnel,Port-au-Prince,Cloud
