order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,gross_amount,net_amount,payment_method,channel,marketing_source,delivery_days,returned,review_score,segment,city,category,net_calc,amount_diff
O00030,C0215,P042,2025-04-04,3,68.31,0.12,204.93,180.34,Mobile Money,Web,Organique,3.0,0,4.0,Indépendant,Port-au-Prince,Cloud,180.3384,0.001599999999996271
O00031,C0342,P053,2024-05-31,2,325.9,0.07,651.8,606.17,Mobile Money,App,Direct,1.0,0,4.0,Étudiant,Unknown,Cloud,606.1739999999999,-0.0039999999999054126
O00032,C0499,P059,2025-06-17,5,108.25,0.0,541.25,541.25,Carte,App,Réseaux sociaux,3.0,0,5.0,Indépendant,Paris,Cours,541.25,0.0
O00033,C0315,P045,2025-08-08,1,349.73,0.04,349.73,335.74,Virement,Web,Réseaux sociaux,0.0,0,4.0,Étudiant,Dakar,Cloud,335.7408,-0.0007999999999697138
O00034,C0026,P018,2025-04-30,4,52.97,0.14,211.88,182.22,Carte,Web,Réseaux sociaux,0.0,1,4.0,Professionnel,Port-au-Prince,Cours,182.2168,0.003199999999992542
O00035,C0405,P039,2024-12-22,3,179.66,0.13,538.98,468.91,Carte,App,Réseaux sociaux,1.0,0,4.357446808510638,Professionnel,Dakar,Cours,468.9126,-0.002599999999972624
O00036,C0391,P015,2024-05-21,4,215.62,0.06,862.48,810.73,Carte,Web,Email,1.0,0,4.0,Étudiant,Jérémie,Cloud,810.7312,-0.001199999999926149
O00037,C0326,P031,2024-01-25,4,165.54,0.12,662.16,582.7,Mobile Money,App,Réseaux sociaux,0.0,0,4.357446808510638,Étudiant,Port-au-Prince,Cours,582.7008,-0.0007999999999128704
O00038,C0449,P027,2025-03-24,1,1016.89,0.04,1016.89,976.21,Mobile Money,App,Organique,4.0,0,5.0,Étudiant,Paris,Laptop,976.2144,-0.004399999999918691
O00039,C0385,P060,2025-05-03,4,813.91,0.05,3255.64,3092.86,Virement,Web,Direct,2.0,0,5.0,Indépendant,Gonaïves,Laptop,3092.8579999999997,0.0020000000004074536
O00040,C0117,P034,2025-07-06,2,294.16,0.17,588.32,488.31,Mobile Money,App,Direct,1.0,0,4.0,Étudiant,Cap-Haïtien,Logiciel,488.3056,0.004399999999975535
O00041,C0211,P058,2025-11-10,4,222.36,0.26,889.44,658.19,Carte,App,Réseaux sociaux,1.0,0,5.0,Professionnel,Port-au-Prince,Cloud,658.1856,0.004400000000032378
O00042,C0254,P049,2024-12-21,2,308.72,0.04,617.44,592.74,Carte,Boutique,Direct,2.0,0,5.0,Professionnel,Santo Domingo,Logiciel,592.7424,-0.002399999999965985
O00043,C0245,P051,2025-08-15,2,51.59,0.09,103.18,93.89,Carte,Web,Réseaux sociaux,17.0,0,4.357446808510638,Professionnel,Port-au-Prince,Accessoire,93.89380000000001,-0.00380000000001246
O00044,C0320,P011,2025-05-27,4,41.85,0.07,167.4,155.68,Mobile Money,Web,Réseaux sociaux,1.0,0,4.0,Professionnel,Port-au-Prince,Cours,155.682,-0.001999999999981128
O00045,C0351,P047,2024-07-17,5,122.9,0.13,614.5,534.62,Carte,App,Direct,2.0,0,4.0,Étudiant,Jacmel,Cours,534.615,0.0049999999999954525
O00046,C0052,P016,2025-08-27,5,1572.54,0.17,7862.7,6526.04,Mobile Money,Boutique,Email,9.0,0,4.0,Professionnel,Port-au-Prince,Laptop,6526.040999999999,-0.0009999999992942321
O00047,C0285,P035,2024-02-08,4,52.24,0.11,208.96,185.97,Mobile Money,Boutique,Référencement payant,2.0,0,4.0,Professionnel,Montréal,Livre,185.9744,-0.004400000000003956
O00048,C0020,P030,2025-03-04,3,408.53,0.11,1225.59,1090.78,Mobile Money,Web,Réseaux sociaux,3.0,0,4.0,Entreprise,Les Cayes,Cloud,1090.7750999999998,0.004900000000134241
O00049,C0256,P016,2025-11-03,3,1572.54,0.29,4717.62,3349.51,Carte,Web,Réseaux sociaux,4.0,0,4.0,Entreprise,Cap-Haïtien,Laptop,3349.5101999999997,-0.00019999999949504854
O00050,C0212,P060,2025-04-16,5,813.91,0.1,4069.55,3662.6,Carte,Web,Organique,11.0,0,5.0,Indépendant,Hinche,Laptop,3662.5950000000003,0.004999999999654392
O00051,C0103,P053,2025-10-31,2,325.9,0.15,651.8,554.03,Virement,App,Direct,2.0,0,4.0,Indépendant,Montréal,Cloud,554.03,0.0
O00052,C0496,P035,2024-02-10,5,52.24,0.0,261.2,261.2,Mobile Money,App,Organique,3.0,0,5.0,Entreprise,Kinshasa,Livre,261.2,0.0
O00054,C0029,P011,2025-07-12,4,41.85,0.08,167.4,154.01,Mobile Money,Web,Organique,3.0,0,5.0,Professionnel,Gonaïves,Cours,154.008,0.001999999999981128
O00055,C0180,P014,2025-04-04,3,120.86,0.09,362.58,329.95,Virement,Boutique,Email,0.0,0,3.0,Indépendant,Montréal,Cours,329.9478,0.002200000000016189
O00056,C0379,P059,2025-09-21,5,108.25,0.25,541.25,405.94,Carte,Web,Réseaux sociaux,3.0,0,4.0,Étudiant,Montréal,Cours,405.9375,0.0024999999999977263
O00057,C0005,P025,2024-11-26,4,95.45,0.18,381.8,313.08,Virement,Web,Référencement payant,3.0,0,5.0,Professionnel,Cap-Haïtien,Cours,313.076,0.003999999999962256
O00058,C0247,P003,2025-05-03,1,40.16,0.03,40.16,38.96,Carte,App,Email,3.0,0,5.0,Étudiant,Abidjan,Livre,38.9552,0.004800000000003024
O00059,C0209,P036,2024-10-27,4,130.05,0.06,520.2,488.99,Cash,Web,Organique,3.0,0,4.0,Étudiant,Les Cayes,Accessoire,488.988,0.0020000000000095497
O00060,C0433,P058,2025-09-15,4,222.36,0.25,889.44,667.08,Carte,App,Organique,2.0,0,4.357446808510638,Étudiant,Jérémie,Cloud,667.08,0.0
O00061,C0002,P034,2024-03-26,5,294.16,0.08,1470.8,1353.14,Carte,App,Organique,1.0,0,4.0,Professionnel,Gonaïves,Logiciel,1353.136,0.004000000000132786
O00062,C0009,P027,2024-06-30,5,1016.89,0.17,5084.45,4220.09,Carte,Web,Référencement payant,2.0,0,5.0,Professionnel,Saint-Marc,Laptop,4220.0935,-0.003499999999803549
O00063,C0283,P011,2024-03-10,5,41.85,0.04,209.25,200.88,Virement,Web,Partenariat,1.0,0,4.0,Indépendant,Cap-Haïtien,Cours,200.88,0.0
O00064,C0090,P053,2025-05-17,1,325.9,0.13,325.9,283.53,Cash,Web,Réseaux sociaux,1.0,0,5.0,Professionnel,Fort-Liberté,Cloud,283.53299999999996,-0.002999999999985903
O00065,C0353,P007,2024-06-15,4,308.43,0.18,1233.72,1011.65,Carte,App,Email,5.0,0,4.0,Étudiant,Port-au-Prince,Logiciel,1011.6504000000001,-0.00040000000012696546
O00066,C0140,P057,2024-08-14,5,55.74,0.1,278.7,250.83,Carte,Web,Organique,0.0,0,4.0,Étudiant,Paris,Cours,250.82999999999998,2.842170943040401e-14
O00067,C0282,P014,2025-08-21,5,120.86,0.12,604.3,531.78,Carte,Web,Partenariat,1.0,0,5.0,Professionnel,Cap-Haïtien,Cours,531.784,-0.004000000000019099
O00068,C0019,P009,2024-09-14,3,157.91,0.12,473.73,416.88,Carte,Web,Direct,0.0,0,4.0,Étudiant,Saint-Marc,Cours,416.8824,-0.0024000000000228283
O00069,C0347,P021,2024-04-14,5,151.84,0.14,759.2,652.91,Mobile Money,App,Référencement payant,1.0,0,4.0,Étudiant,Saint-Marc,Cours,652.912,-0.002000000000066393
O00070,C0260,P001,2024-01-15,5,1681.08,0.04,8405.4,8069.18,Carte,Web,Organique,7.0,0,5.0,Étudiant,Cap-Haïtien,Laptop,8069.183999999999,-0.003999999998995918
O00071,C0001,P001,2024-06-11,1,1681.08,0.13,1681.08,1462.54,Cash,Web,Réseaux sociaux,15.0,0,4.0,Entreprise,Gonaïves,Laptop,1462.5395999999998,0.00040000000012696546
O00072,C0133,P012,2025-10-16,5,74.3,0.13,371.5,323.2,Cash,Web,Direct,3.0,1,4.0,Étudiant,Cap-Haïtien,Livre,323.205,-0.0049999999999954525
O00073,C0030,P042,2025-01-27,4,68.31,0.21,273.24,215.86,Carte,Web,Organique,1.0,0,4.0,Professionnel,Port-au-Prince,Cloud,215.85960000000003,0.0003999999999848569
O00074,C0023,P049,2025-12-12,3,308.72,0.1,926.16,833.54,Mobile Money,Web,Référencement payant,3.0,0,4.0,Professionnel,Cap-Haïtien,Logiciel,833.544,-0.004000000000019099
O00075,C0350,P015,2024-06-02,1,215.62,0.05,215.62,204.84,Cash,Web,Direct,0.0,0,5.0,Étudiant,Port-au-Prince,Cloud,204.839,0.0010000000000047748
O00076,C0214,P039,2024-09-08,5,179.66,0.27,898.3,655.76,Virement,App,Référencement payant,3.0,1,5.0,Professionnel,Jérémie,Cours,655.7589999999999,0.00100000000009004
O00077,C0402,P022,2024-04-26,2,50.57,0.16,101.14,84.96,Mobile Money,Web,Email,3.0,0,4.0,Professionnel,Montréal,Livre,84.9576,0.0023999999999944066
O00078,C0129,P026,2024-10-11,3,95.37,0.1,286.11,257.5,Carte,Web,Réseaux sociaux,6.0,0,4.0,Étudiant,Gonaïves,Accessoire,257.499,0.0009999999999763531
O00079,C0359,P021,2025-02-06,2,151.84,0.04,303.68,291.53,Carte,Boutique,Direct,1.0,0,4.0,Étudiant,Gonaïves,Cours,291.5328,-0.002800000000036107
O00080,C0308,P054,2025-07-31,5,1341.69,0.1,6708.45,6037.6,Mobile Money,Web,Réseaux sociaux,7.0,0,5.0,Étudiant,Kinshasa,Laptop,6037.605,-0.004999999999199645
O00081,C0332,P031,2024-09-20,3,165.54,0.22,496.62,387.36,Carte,Web,Direct,3.0,0,4.0,Entreprise,Mirebalais,Cours,387.3636,-0.0036000000000058208
O00082,C0415,P031,2025-07-05,1,165.54,0.17,165.54,137.4,Mobile Money,Web,Réseaux sociaux,0.0,0,5.0,Étudiant,Port-au-Prince,Cours,137.39819999999997,0.001800000000031332
O00083,C0354,P052,2025-03-23,1,1932.53,0.03,1932.53,1874.55,Mobile Money,Web,Référencement payant,14.0,0,4.0,Professionnel,Unknown,Laptop,1874.5540999999998,-0.0040999999998803105
O00084,C0373,P040,2024-07-27,5,141.14,0.02,705.7,691.59,Mobile Money,Web,Direct,3.0,0,3.0,Entreprise,Port-au-Prince,Cloud,691.586,0.004000000000019099
O00085,C0370,P009,2025-10-14,2,157.91,0.08,315.82,290.55,Carte,App,Email,3.0,0,5.0,Indépendant,Montréal,Cours,290.5544,-0.004399999999975535
O00086,C0224,P012,2024-11-06,4,74.3,0.14,297.2,255.59,Carte,Web,Réseaux sociaux,3.0,0,4.0,Professionnel,Gonaïves,Livre,255.59199999999998,-0.001999999999981128
O00087,C0363,P021,2024-04-17,1,151.84,0.18,151.84,124.51,Virement,App,Organique,6.0,0,4.0,Indépendant,Santo Domingo,Cours,124.50880000000001,0.0011999999999972033
O00088,C0422,P006,2025-11-19,5,75.23,0.14,376.15,323.49,Carte,Boutique,Partenariat,7.0,0,4.0,Entreprise,Port-au-Prince,Accessoire,323.489,0.0010000000000331966
O00089,C0370,P042,2025-10-15,4,68.31,0.2,273.24,218.59,Carte,Web,Email,0.0,0,4.0,Indépendant,Montréal,Cloud,218.592,-0.0020000000000095497
O00090,C0304,P030,2024-02-05,2,408.53,0.04,817.06,784.38,Cash,App,Organique,0.0,0,5.0,Professionnel,Port-au-Prince,Cloud,784.3775999999999,0.0024000000000796717
O00091,C0038,P003,2025-10-07,5,40.16,0.14,200.8,172.69,Mobile Money,Web,Partenariat,2.0,0,5.0,Professionnel,Port-au-Prince,Livre,172.68800000000002,0.001999999999981128
O00092,C0219,P025,2025-11-08,2,95.45,0.25,190.9,143.18,Mobile Money,Web,Direct,1.0,0,4.0,Étudiant,Les Cayes,Cours,143.175,0.0049999999999954525
O00093,C0032,P050,2025-08-15,5,24.97,0.09,124.85,113.61,Virement,App,Partenariat,0.0,0,4.0,Étudiant,Montréal,Livre,113.6135,-0.003500000000002501
O00094,C0052,P055,2024-07-01,3,1771.15,0.0,5313.45,5313.45,Carte,Web,Email,14.0,0,4.0,Professionnel,Port-au-Prince,Laptop,5313.45,0.0
O00095,C0181,P058,2025-03-27,3,222.36,0.04,667.08,640.4,Cash,Boutique,Direct,0.0,0,4.0,Étudiant,Hinche,Cloud,640.3968,0.003199999999992542
O00096,C0233,P056,2025-01-19,1,144.68,0.19,144.68,117.19,Virement,App,Partenariat,1.0,0,4.0,Professionnel,Gonaïves,Logiciel,117.19080000000001,-0.0008000000000123464
O00097,C0264,P037,2025-03-19,2,120.19,0.18,240.38,197.11,Carte,Web,Organique,1.0,0,5.0,Étudiant,Port-au-Prince,Cours,197.1116,-0.001599999999996271
O00098,C0451,P056,2025-03-16,1,144.68,0.04,144.68,138.89,Carte,Web,Direct,3.0,0,4.0,Professionnel,Port-au-Prince,Logiciel,138.8928,-0.0028000000000076852
O00099,C0382,P058,2025-04-02,5,222.36,0.11,1111.8,989.5,Carte,App,Email,2.0,0,4.0,Entreprise,Unknown,Cloud,989.502,-0.0019999999999527063
O00100,C0212,P039,2025-01-02,1,179.66,0.2,179.66,143.73,Mobile Money,Web,Direct,2.0,0,4.0,Indépendant,Hinche,Cours,143.728,0.001999999999981128
O00101,C0168,P025,2025-05-08,1,95.45,0.1,95.45,85.9,Mobile Money,Web,Référencement payant,3.0,0,3.0,Étudiant,Dakar,Cours,85.905,-0.0049999999999954525
O00102,C0357,P058,2025-01-11,1,222.36,0.14,222.36,191.23,Mobile Money,Web,Email,5.0,0,4.0,Étudiant,Port-au-Prince,Cloud,191.2296,0.0003999999999848569
O00103,C0138,P025,2024-01-12,5,95.45,0.04,477.25,458.16,Cash,Web,Réseaux sociaux,1.0,1,5.0,Entreprise,Paris,Cours,458.15999999999997,5.684341886080802e-14
O00104,C0442,P010,2024-01-26,5,28.28,0.09,141.4,128.67,Mobile Money,Boutique,Organique,3.0,0,5.0,Indépendant,Abidjan,Livre,128.674,-0.004000000000019099
O00105,C0391,P007,2025-11-16,4,308.43,0.29,1233.72,875.94,Mobile Money,Web,Organique,2.0,0,5.0,Étudiant,Jérémie,Logiciel,875.9412,-0.001199999999926149
O00106,C0342,P035,2025-10-12,1,52.24,0.2,52.24,41.79,Mobile Money,Web,Référencement payant,0.0,0,5.0,Étudiant,Unknown,Livre,41.792,-0.0020000000000024443
O00107,C0125,P003,2025-02-22,3,40.16,0.02,120.48,118.07,Mobile Money,App,Partenariat,0.0,0,5.0,Étudiant,Port-au-Prince,Livre,118.0704,-0.0004000000000132786
O00108,C0311,P008,2024-05-04,5,68.48,0.06,342.4,321.86,Carte,App,Organique,0.0,0,5.0,Étudiant,Cap-Haïtien,Logiciel,321.85599999999994,0.004000000000075943
O00109,C0411,P015,2025-07-12,1,215.62,0.01,215.62,213.46,Mobile Money,App,Organique,0.0,0,4.0,Indépendant,Paris,Cloud,213.4638,-0.0037999999999840384
O00110,C0036,P032,2024-04-12,4,756.36,0.05,3025.44,2874.17,Mobile Money,Boutique,Référencement payant,3.0,0,4.0,Étudiant,Hinche,Laptop,2874.168,0.0019999999999527063
O00111,C0089,P029,2024-09-26,1,26.81,0.19,26.81,21.72,Carte,Web,Organique,0.0,0,5.0,Étudiant,Port-au-Prince,Livre,21.7161,0.003899999999998016
O00112,C0258,P031,2024-08-23,5,165.54,0.01,827.7,819.42,Mobile Money,Web,Organique,3.0,0,5.0,Professionnel,Port-au-Prince,Cours,819.423,-0.0030000000000427463
O00113,C0180,P031,2024-01-09,3,165.54,0.2,496.62,397.3,Mobile Money,App,Organique,2.0,0,4.0,Indépendant,Montréal,Cours,397.29600000000005,0.003999999999962256
O00114,C0355,P060,2025-07-31,5,813.91,0.01,4069.55,4028.85,Carte,Web,Email,11.0,0,4.0,Professionnel,Santo Domingo,Laptop,4028.8545000000004,-0.004500000000462023
O00115,C0201,P014,2024-12-30,3,120.86,0.1,362.58,326.32,Virement,App,Email,1.0,0,4.0,Indépendant,Port-au-Prince,Cours,326.322,-0.0020000000000095497
O00116,C0499,P029,2024-08-14,4,26.81,0.08,107.24,98.66,Carte,Web,Partenariat,3.0,0,5.0,Indépendant,Paris,Livre,98.6608,-0.0007999999999981355
O00117,C0150,P037,2024-12-28,5,120.19,0.17,600.95,498.79,Mobile Money,Boutique,Réseaux sociaux,1.0,0,4.357446808510638,Professionnel,Santo Domingo,Cours,498.7885,0.0015000000000213731
O00118,C0181,P017,2024-01-01,2,108.73,0.21,217.46,171.79,Mobile Money,App,Organique,2.0,0,4.0,Étudiant,Hinche,Logiciel,171.79340000000002,-0.003400000000027603
O00119,C0002,P011,2024-11-08,4,41.85,0.11,167.4,148.99,Carte,App,Référencement payant,0.0,0,4.357446808510638,Professionnel,Gonaïves,Cours,148.98600000000002,0.003999999999990678
O00120,C0124,P003,2025-01-06,3,40.16,0.06,120.48,113.25,Mobile Money,Web,Direct,3.0,0,4.0,Étudiant,Paris,Livre,113.2512,-0.0011999999999972033
O00121,C0118,P020,2024-08-30,3,1817.26,0.13,5451.78,4743.05,Carte,Boutique,Réseaux sociaux,4.0,0,4.0,Indépendant,Dakar,Laptop,4743.0486,0.0014000000001033186
O00122,C0382,P016,2025-08-16,4,1572.54,0.13,6290.16,5472.44,Carte,App,Partenariat,7.0,0,4.0,Entreprise,Unknown,Laptop,5472.4392,0.0007999999997991836
O00123,C0169,P012,2024-06-27,2,74.3,0.0,148.6,148.6,Mobile Money,App,Référencement payant,3.0,0,4.0,Étudiant,Abidjan,Livre,148.6,0.0
O00124,C0102,P017,2024-04-08,1,108.73,0.05,108.73,103.29,Carte,App,Direct,3.0,0,5.0,Indépendant,Gonaïves,Logiciel,103.2935,-0.0034999999999882903
O00125,C0157,P042,2025-01-12,3,68.31,0.17,204.93,170.09,Cash,Web,Réseaux sociaux,0.0,0,5.0,Entreprise,Port-au-Prince,Cloud,170.0919,-0.00190000000000623
O00126,C0282,P050,2025-09-26,5,24.97,0.16,124.85,104.87,Carte,Web,Organique,3.0,0,4.0,Professionnel,Cap-Haïtien,Livre,104.874,-0.003999999999990678
O00127,C0393,P031,2024-09-25,1,165.54,0.23,165.54,127.47,Carte,Web,Organique,2.0,0,4.0,Professionnel,Port-au-Prince,Cours,127.4658,0.004199999999997317
O00128,C0490,P004,2024-02-03,2,91.27,0.05,182.54,173.41,Virement,App,Référencement payant,7.0,0,4.0,Professionnel,Cap-Haïtien,Accessoire,173.41299999999998,-0.002999999999985903
O00129,C0024,P045,2025-11-24,4,349.73,0.24,1398.92,1063.18,Mobile Money,App,Partenariat,2.0,0,4.0,Indépendant,Cap-Haïtien,Cloud,1063.1792,0.0008000000000265572
O00130,C0421,P010,2024-11-13,3,28.28,0.3,84.84,59.39,Mobile Money,Web,Réseaux sociaux,3.0,0,5.0,Professionnel,Dakar,Livre,59.388,0.0020000000000024443
O00131,C0195,P004,2024-05-03,4,91.27,0.13,365.08,317.62,Mobile Money,Boutique,Organique,8.0,0,4.0,Étudiant,Mirebalais,Accessoire,317.6196,0.0004000000000132786
O00132,C0405,P035,2025-03-16,3,52.24,0.02,156.72,153.59,Virement,Web,Organique,2.0,1,4.0,Professionnel,Dakar,Livre,153.5856,0.004400000000003956
O00133,C0019,P026,2024-08-16,5,95.37,0.17,476.85,395.79,Carte,App,Email,5.0,0,4.0,Étudiant,Saint-Marc,Accessoire,395.7855,0.004500000000007276
O00134,C0314,P019,2025-11-01,5,121.48,0.23,607.4,467.7,Carte,Web,Direct,3.0,0,3.0,Professionnel,Hinche,Cours,467.698,0.0020000000000095497
O00135,C0466,P059,2024-07-29,3,108.25,0.06,324.75,305.26,Cash,Web,Réseaux sociaux,3.0,0,5.0,Étudiant,Paris,Cours,305.265,-0.0049999999999954525
O00136,C0020,P006,2025-01-28,3,75.23,0.22,225.69,176.04,Carte,Web,Email,12.0,0,3.0,Entreprise,Les Cayes,Accessoire,176.03820000000002,0.0017999999999744887
O00137,C0396,P004,2025-01-23,2,91.27,0.09,182.54,166.11,Mobile Money,App,Email,4.0,0,5.0,Indépendant,Paris,Accessoire,166.1114,-0.0013999999999896318
O00138,C0058,P036,2024-06-22,3,130.05,0.07,390.15,362.84,Mobile Money,App,Partenariat,11.0,0,4.0,Indépendant,Port-au-Prince,Accessoire,362.83949999999993,0.00050000000004502
O00139,C0492,P026,2024-12-22,5,95.37,0.1,476.85,429.16,Mobile Money,Web,Partenariat,8.0,0,5.0,Professionnel,Port-au-Prince,Accessoire,429.165,-0.0049999999999954525
O00140,C0373,P049,2024-03-18,3,308.72,0.13,926.16,805.76,Mobile Money,Web,Organique,1.0,0,4.0,Entreprise,Port-au-Prince,Logiciel,805.7592,0.0008000000000265572
O00141,C0456,P003,2025-04-05,4,40.16,0.04,160.64,154.21,Cash,App,Référencement payant,3.0,0,4.0,Entreprise,Cap-Haïtien,Livre,154.21439999999998,-0.004399999999975535
O00142,C0449,P026,2025-06-26,3,95.37,0.17,286.11,237.47,Carte,Web,Partenariat,4.0,0,4.0,Étudiant,Paris,Accessoire,237.4713,-0.0013000000000147338
O00143,C0158,P009,2025-11-10,4,157.91,0.25,631.64,473.73,Mobile Money,App,Direct,3.0,0,4.0,Étudiant,Montréal,Cours,473.73,0.0
O00144,C0208,P003,2024-08-20,4,40.16,0.08,160.64,147.79,Mobile Money,Web,Email,3.0,0,5.0,Entreprise,Les Cayes,Livre,147.78879999999998,0.0012000000000114142
O00145,C0346,P028,2024-07-22,3,26.12,0.13,78.36,68.17,Carte,App,Organique,12.0,0,5.0,Étudiant,Unknown,Accessoire,68.1732,-0.003199999999992542
O00146,C0088,P045,2025-01-27,5,349.73,0.22,1748.65,1363.95,Virement,App,Email,0.0,0,4.0,Étudiant,Santo Domingo,Cloud,1363.9470000000001,0.0029999999999290594
O00147,C0154,P010,2025-05-10,5,28.28,0.08,141.4,130.09,Mobile Money,Web,Email,3.0,0,4.0,Étudiant,Cap-Haïtien,Livre,130.08800000000002,0.001999999999981128
O00148,C0050,P051,2025-12-10,1,51.59,0.12,51.59,45.4,Carte,App,Organique,11.0,0,5.0,Indépendant,Les Cayes,Accessoire,45.3992,0.0007999999999981355
